University,Country,Program,Min_CGPA,Min_IELTS,Tuition_Fee,Acceptance_Rate,World_Ranking,Job_Prospect
Queen's University,Canada,Business,6.4,7.3,1475043,50,20,Low
RMIT University,Australia,Computer Science,6.6,7.2,2967284,27,64,High
Western University,Canada,Engineering,6.8,6.2,3311611,59,11,High
University of Manchester,UK,Business,8.2,7.8,3206223,7,133,Medium
National University of Singapore,Singapore,Engineering,8.5,7.8,3645544,40,191,Medium
MIT,USA,MBA,5.5,7.2,3360308,31,134,High
University of Oxford,UK,Computer Science,6.4,6.7,2184781,33,197,High
Singapore Management University,Singapore,Engineering,6.5,6.8,1404417,19,89,High
Harvard University,USA,MBA,7.4,6.7,2236547,68,14,High
University of Stuttgart,Germany,Data Science,7.6,6.3,3266353,29,78,Medium
Technical University of Munich,Germany,AI,7.1,7.8,4678465,52,183,Low
NYU,USA,Computer Science,6.4,6.5,3139582,20,127,Medium
University of Birmingham,UK,Computer Science,8.7,6.7,1801847,73,196,Low
Australian National University,Australia,Business,6.3,6.4,1662336,69,8,High
Macquarie University,Australia,AI,5.6,7.4,1288872,66,97,High
University of Toronto,Canada,Data Science,6.0,7.2,2796160,13,107,High
University of Cologne,Germany,AI,6.0,6.2,3964721,14,95,Low
Australian National University,Australia,MBA,6.3,6.9,2613012,77,63,High
University of Alberta,Canada,Data Science,8.0,5.7,3808020,69,174,Medium
Imperial College London,UK,Computer Science,6.3,7.1,4076658,25,49,Medium
UCLA,USA,Computer Science,8.8,6.2,3053394,36,46,High
University of Edinburgh,UK,Business,8.4,6.4,2240306,77,96,Low
University of British Columbia,Canada,AI,5.7,5.8,2201856,43,40,High
McGill University,Canada,Computer Science,7.7,5.9,4885163,10,43,High
University of Oxford,UK,MBA,8.0,6.3,3567441,71,176,High
University College London,UK,MBA,8.2,5.8,1398579,51,158,Medium
University of Alberta,Canada,AI,6.0,6.1,2872244,80,103,High
Purdue University,USA,Business,8.3,7.5,2438936,21,113,Low
University of Edinburgh,UK,AI,7.8,5.7,3470314,5,172,High
Singapore Management University,Singapore,Engineering,6.2,6.8,2577583,91,49,Low
University of Queensland,Australia,Business,6.3,7.7,3869281,79,179,Low
University of Oxford,UK,Business,7.3,6.6,3520145,90,133,High
Free University of Berlin,Germany,Data Science,8.7,7.6,3845287,48,118,Medium
University of Washington,USA,AI,6.5,7.1,4633107,17,99,High
University of Michigan,USA,Computer Science,6.2,7.0,1319774,10,46,Low
Macquarie University,Australia,Data Science,5.6,7.8,3159619,13,84,Low
University of Michigan,USA,Data Science,6.4,6.1,1838458,69,2,Medium
Nanyang Technological University,Singapore,Business,7.0,7.1,1982917,74,150,Medium
UC Berkeley,USA,Data Science,6.6,7.8,3775877,42,104,Medium
University of Bonn,Germany,Engineering,7.8,7.7,2889176,10,15,Medium
Western University,Canada,Data Science,5.9,6.1,1781969,84,123,Low
University of Sydney,Australia,AI,6.2,5.7,4062294,43,71,High
Imperial College London,UK,AI,6.5,7.4,2100302,65,149,High
University of Edinburgh,UK,Data Science,6.4,7.4,1770429,16,55,High
McMaster University,Canada,AI,8.4,7.7,2494810,79,109,Low
Technical University of Munich,Germany,AI,8.8,7.9,4474905,8,195,Low
Queen's University,Canada,MBA,8.6,7.2,4811722,12,163,Low
University of Freiburg,Germany,Engineering,6.4,5.9,3359838,76,32,Low
UNSW Sydney,Australia,Engineering,8.2,7.4,4001154,58,23,Medium
University of Ottawa,Canada,Data Science,6.3,6.6,1547257,43,115,Low
University of Washington,USA,Computer Science,7.9,6.4,2216492,82,166,High
Nanyang Technological University,Singapore,Engineering,8.9,7.5,3844015,9,33,Medium
University of Freiburg,Germany,Business,8.3,7.3,3934856,38,61,Medium
University of Queensland,Australia,Engineering,6.0,5.9,2397581,85,194,High
University of Queensland,Australia,AI,7.1,5.6,4644308,31,28,Medium
McMaster University,Canada,Engineering,6.2,7.8,1629077,28,169,Medium
University of Ottawa,Canada,Business,8.6,6.3,4079657,18,63,High
Singapore Management University,Singapore,Computer Science,6.8,7.5,3282093,29,78,Medium
RWTH Aachen University,Germany,Business,6.6,5.8,1865762,69,94,Medium
University of Sydney,Australia,Computer Science,7.4,7.0,1228778,10,38,High
University of Waterloo,Canada,Data Science,6.0,5.6,3747026,86,114,High
University of Melbourne,Australia,MBA,8.3,7.1,4356422,14,13,High
UNSW Sydney,Australia,Business,6.7,6.5,1256082,57,103,Medium
Australian National University,Australia,Business,6.9,8.0,3158741,86,122,Medium
MIT,USA,Computer Science,6.5,7.5,4263599,58,39,High
National University of Singapore,Singapore,Business,5.5,6.6,3096767,8,187,High
Simon Fraser University,Canada,Engineering,8.1,5.7,3521213,19,113,Medium
National University of Singapore,Singapore,AI,5.9,5.7,3208611,9,1,High
Technical University of Munich,Germany,Data Science,7.9,5.9,2781684,36,92,High
MIT,USA,Computer Science,7.9,5.7,1628228,86,148,Low
University of Glasgow,UK,Engineering,8.2,6.9,3533434,6,68,High
National University of Singapore,Singapore,MBA,6.5,7.6,2089833,25,24,Low
McMaster University,Canada,Engineering,8.1,7.0,3666765,55,86,Medium
National University of Singapore,Singapore,AI,8.5,5.6,2186641,83,84,Low
UCLA,USA,Business,7.6,6.2,3537856,11,11,High
UCLA,USA,AI,5.6,5.8,2252019,43,101,High
Simon Fraser University,Canada,MBA,5.8,6.1,3767933,50,35,High
University of Edinburgh,UK,Engineering,6.4,7.6,2471257,21,125,Low
University of Glasgow,UK,Business,5.7,6.1,4320500,32,56,Low
University of Cambridge,UK,Business,8.7,6.1,2771489,43,115,Low
Technical University of Munich,Germany,AI,9.0,5.6,4184476,44,8,Low
Macquarie University,Australia,Engineering,8.2,7.6,1384392,30,14,Low
University College London,UK,Computer Science,8.2,6.4,3917479,95,138,Medium
MIT,USA,Data Science,6.2,6.9,1999620,22,136,High
Nanyang Technological University,Singapore,Business,6.2,7.6,3344586,61,78,Medium
University of Bonn,Germany,AI,8.8,6.6,3274653,59,116,Low
University College London,UK,Computer Science,6.9,7.9,1347531,69,54,Low
TU Berlin,Germany,Engineering,6.8,5.7,4137581,87,130,Medium
University of Edinburgh,UK,Business,6.0,6.2,4315329,62,166,Low
Singapore Management University,Singapore,Computer Science,8.5,7.1,1948504,64,176,Medium
University of Ottawa,Canada,Business,6.5,7.1,3442673,52,17,Low
Purdue University,USA,MBA,5.9,5.9,2526109,22,42,Low
University of Freiburg,Germany,AI,9.0,7.1,2180845,39,118,Low
NYU,USA,Business,7.9,7.4,3596581,68,89,Low
University of British Columbia,Canada,MBA,8.7,5.9,4742338,76,98,High
National University of Singapore,Singapore,Business,6.2,6.9,4297060,23,142,Low
University of Leeds,UK,AI,8.0,7.4,4605420,18,90,High
Australian National University,Australia,Business,5.6,6.4,3576085,13,172,Low
RWTH Aachen University,Germany,Computer Science,7.1,7.6,4471054,50,192,Medium
UCLA,USA,Engineering,7.6,7.6,3966406,53,185,Low
University of Adelaide,Australia,Data Science,8.8,6.1,2130849,40,125,High
University of Toronto,Canada,MBA,6.8,7.1,3925631,42,87,High
McMaster University,Canada,Business,8.9,6.9,3903074,63,123,High
University College London,UK,Business,8.6,5.6,3125540,12,53,Low
Singapore Management University,Singapore,AI,9.0,7.1,1351913,68,32,Medium
Nanyang Technological University,Singapore,Computer Science,8.9,7.3,2199666,49,12,High
University of Leeds,UK,Data Science,6.2,7.2,4672556,84,25,High
University of Bonn,Germany,AI,8.6,6.6,4819344,91,32,Low
University of Manchester,UK,Engineering,7.9,6.6,2352948,76,168,High
Heidelberg University,Germany,AI,6.9,6.1,1489539,13,27,Medium
University of Queensland,Australia,Engineering,8.4,7.2,4489141,18,43,Low
University of Melbourne,Australia,AI,5.8,7.8,2356494,94,64,Low
Imperial College London,UK,MBA,7.5,7.9,3851460,80,192,High
UNSW Sydney,Australia,MBA,7.0,7.1,2678970,88,126,Medium
RWTH Aachen University,Germany,AI,7.8,5.8,2273488,47,14,Medium
University of British Columbia,Canada,AI,6.3,6.4,2328462,62,197,Medium
NYU,USA,MBA,8.1,7.0,3680249,87,106,Low
University of Alberta,Canada,Business,6.2,5.5,3658385,61,41,High
Nanyang Technological University,Singapore,Business,7.2,6.3,3288284,68,57,Medium
University of Manchester,UK,Engineering,6.3,5.6,2259302,39,134,High
Heidelberg University,Germany,Business,5.5,7.6,3200435,19,174,Medium
University of Bonn,Germany,Computer Science,6.0,7.0,1509288,39,188,High
Nanyang Technological University,Singapore,MBA,8.0,7.0,4347592,5,114,High
King's College London,UK,Business,6.7,7.2,4482346,34,95,Low
TU Berlin,Germany,Data Science,7.2,7.6,4865808,63,193,Low
University of Michigan,USA,Business,6.8,5.5,4364088,49,47,High
University of Leeds,UK,Business,8.2,7.4,3477347,56,73,Medium
UCLA,USA,Data Science,8.4,7.0,4960716,10,52,Low
University of Alberta,Canada,MBA,6.2,6.0,4987566,25,174,Medium
Stanford University,USA,Data Science,8.7,6.7,3425785,66,139,High
University of Bonn,Germany,MBA,8.0,6.7,2922172,6,81,Low
National University of Singapore,Singapore,MBA,5.8,5.6,3947510,69,120,Low
National University of Singapore,Singapore,MBA,6.6,7.0,3278543,12,67,Medium
University of Ottawa,Canada,Data Science,5.9,7.1,4069530,45,35,Low
UCLA,USA,Engineering,6.6,6.6,4054796,13,95,Medium
Queen's University,Canada,Engineering,5.7,7.3,4793892,43,90,Low
National University of Singapore,Singapore,Engineering,5.6,6.0,1898291,39,16,Low
McGill University,Canada,Data Science,5.7,7.6,3161310,35,115,Low
University of Leeds,UK,MBA,5.7,7.7,3513954,15,73,Low
Nanyang Technological University,Singapore,Computer Science,8.0,6.1,2050024,74,154,High
RMIT University,Australia,MBA,6.6,7.8,4040211,91,115,Low
National University of Singapore,Singapore,AI,5.9,7.8,4596147,9,29,Low
University of Leeds,UK,MBA,7.8,7.2,2946900,74,1,High
University of Bonn,Germany,Data Science,8.9,6.0,1381122,74,116,Low
University of Toronto,Canada,Computer Science,6.1,7.4,4327952,85,10,Low
Singapore Management University,Singapore,AI,7.6,8.0,2157634,60,138,Low
University of Bonn,Germany,Engineering,7.1,7.6,4078952,16,123,High
Monash University,Australia,Data Science,8.9,6.0,3849688,77,149,Medium
